"Lower Chance Farm SU58_89","Malthouse SU48_34","Calvesleys Farm SU57_159","Woodend SU57_155","Ashridge Wood SU47_140","Briff Lane SU56_119","Mayfield Farm SU57_158","The Barracks SU48_71","Compton Shepherds Hill SU57_154","Marlston Farm SU57_161","Bottom Barn SU57_153","Beenham SU56_220","Hartridge Farm SU57_39","Bere Court Farm SU67_84","comp","D"
0.563306871942908,0.258444645308158,0.300434456928839,0.645132172791747,0.351478832398995,0.568242640499555,0.57172054998142,NA,0.581852082038533,0.774120082815736,0.390594382756368,0.536626344086022,0.287144362486828,0.357471264367817,0.475889899107917,2001-12-01
0.547871060861198,0.260369589233705,0.296629213483146,0.631528046421663,0.34051807461821,0.531816830211123,0.560804533630621,NA,0.567743940335612,0.765269151138716,0.378184193337687,0.502016129032258,0.271338250790306,0.336781609195403,0.460836201714588,2002-01-01
0.628337743565071,0.375991764587727,0.336229712858927,0.668439716312057,0.364875314131065,0.611259787887799,0.595062244518767,NA,0.612647607209447,0.834109730848862,0.399085564990202,0.548790322580645,0.276080084299263,0.362068965517242,0.508690658408237,2002-02-01
0.744226605725283,0.556894646982023,0.434906367041199,0.774468085106383,0.50411753334622,0.629021706809398,0.708379784466741,NA,0.723803604723431,0.83768115942029,0.480731548007838,0.597983870967742,0.390937829293993,0.437931034482759,0.601621828951792,2002-03-01
0.78361799374549,0.617555488600984,0.516704119850187,0.819632495164409,0.564082737289774,0.607270294380019,0.763912114455593,NA,0.771908017402114,0.814958592132506,0.505551926845199,0.593145161290322,0.441517386722866,0.459770114942529,0.635355880217076,2002-04-01
0.768101996632187,0.587024204077533,0.506816479400749,0.816569954867827,0.543108447709259,0.566161165625931,0.759150873281308,NA,0.780609073958981,0.799948240165632,0.532984977139124,0.587903225806452,0.503688092729188,0.488505747126437,0.633890190655432,2002-05-01
0.725583353379841,0.538147367011483,0.441737827715357,0.782720825274017,0.494915909530253,0.557835266131431,0.719249349684132,NA,0.725709550445411,0.786128364389235,0.49379490529066,0.557795698924731,0.467860906217071,0.424137931034483,0.593509019617546,2002-06-01
0.669112340630262,0.457165812995882,0.394456928838952,0.736137975499678,0.441523294026677,0.514540588760036,0.671242103307321,NA,0.681323803604723,0.765010351966874,0.450685826257347,0.522983870967742,NA,0.4,0.558681908071291,2002-07-01
0.616189559778686,0.374987446017877,0.315056179775281,0.690844616376531,0.390972356466267,0.478739220933691,0.626649015235972,NA,0.632846488502175,0.750258799171843,0.411495754408883,0.503225806451613,0.320337197049526,0.345977011494253,0.496736880897123,2002-08-01
0.561302221153076,0.314853871648087,0.268314606741573,0.641263700838169,0.336323216702107,0.457924472197444,0.579710144927537,NA,0.579738968303294,0.736438923395446,0.368386675375572,0.483870967741937,0.261854583772392,0.282758620689655,0.451749305652791,2002-09-01
0.514674043781574,0.251581801747515,0.244104868913858,0.597517730496454,0.294316644113667,0.428783823966697,0.539088628762542,NA,0.537445618396519,0.733695652173914,0.331156107119529,0.493548387096774,0.217070600632244,0.243678160919541,0.417435543701602,2002-10-01
